Unnamed: 0,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Category,Job Type
0,32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,Regular,Software & IT
1,28.0,Female,Master's,Data Analyst,3.0,65000.0,Regular,Data & Analytics
3,36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,Regular,Sales & Marketing
5,29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,Regular,Data & Analytics
6,42.0,Female,Master's,Product Manager,12.0,120000.0,Regular,Management
7,31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,Regular,Management
8,26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,Regular,Sales & Marketing
10,29.0,Male,Master's,Software Developer,3.0,75000.0,Regular,Software & IT
12,35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,Regular,Data & Analytics
13,40.0,Female,Master's,Project Manager,14.0,130000.0,Regular,Management
15,44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,Regular,Management
16,33.0,Female,Master's,Marketing Manager,7.0,90000.0,Regular,Management
19,51.0,Male,Bachelor's,Sales,22.0,180000.0,Director,Sales & Marketing
20,34.0,Female,Master's,Business Analyst,5.0,80000.0,Regular,Data & Analytics
24,41.0,Male,Master's,Financial Manager,13.0,140000.0,Regular,Management
29,33.0,Male,Master's,Product Designer,6.0,90000.0,Regular,Design & Creative
32,29.0,Male,Master's,Data Scientist,3.0,75000.0,Regular,Data & Analytics
36,35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,Regular,Human Resources
37,42.0,Male,Master's,Project Engineer,14.0,115000.0,Regular,Software & IT
39,49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,Regular,Sales & Marketing
47,45.0,Female,Master's,of Marketing,16.0,180000.0,Director,Sales & Marketing
54,29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,Regular,Design & Creative
55,36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,Regular,Management
58,30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,Regular,Management
59,35.0,Male,Master's,Product Manager,7.0,105000.0,Regular,Management
