Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Category,Job Type
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,Regular,Software & IT
28.0,Female,Master's,Data Analyst,3.0,65000.0,Regular,Data & Analytics
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,Regular,Sales & Marketing
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,Regular,Data & Analytics
42.0,Female,Master's,Product Manager,12.0,120000.0,Regular,Management
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,Regular,Management
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,Regular,Sales & Marketing
29.0,Male,Master's,Software Developer,3.0,75000.0,Regular,Software & IT
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,Regular,Data & Analytics
40.0,Female,Master's,Project Manager,14.0,130000.0,Regular,Management
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,Regular,Management
33.0,Female,Master's,Marketing Manager,7.0,90000.0,Regular,Management
51.0,Male,Bachelor's,Sales,22.0,180000.0,Director,Sales & Marketing
34.0,Female,Master's,Business Analyst,5.0,80000.0,Regular,Data & Analytics
41.0,Male,Master's,Financial Manager,13.0,140000.0,Regular,Management
33.0,Male,Master's,Product Designer,6.0,90000.0,Regular,Design & Creative
29.0,Male,Master's,Data Scientist,3.0,75000.0,Regular,Data & Analytics
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,Regular,Human Resources
42.0,Male,Master's,Project Engineer,14.0,115000.0,Regular,Software & IT
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,Regular,Sales & Marketing
45.0,Female,Master's,Marketing,16.0,180000.0,Director,Sales & Marketing
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,Regular,Design & Creative
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,Regular,Management
30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,Regular,Management
35.0,Male,Master's,Product Manager,7.0,105000.0,Regular,Management
51.0,Female,Master's,Operations,23.0,170000.0,Director,Operations & Logistics
29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,Regular,Data & Analytics
47.0,Male,PhD,Data Scientist,21.0,180000.0,Senior,Data & Analytics
38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0,Regular,Management
49.0,Female,Master's,Financial Analyst,18.0,150000.0,Senior,Data & Analytics
33.0,Male,Bachelor's,Web Developer,6.0,65000.0,Regular,Software & IT
45.0,Male,PhD,Research,16.0,190000.0,Director,Science & Research
37.0,Male,Bachelor's,Project Manager,10.0,95000.0,Regular,Management
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,Regular,Management
32.0,Male,Master's,Software Engineer,6.0,100000.0,Senior,Software & IT
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,Regular,Management
41.0,Female,Master's,Data Analyst,13.0,80000.0,Regular,Data & Analytics
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,Regular,Sales & Marketing
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,Regular,Human Resources
46.0,Male,Master's,Project Manager,21.0,135000.0,Senior,Management
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,Regular,Sales & Marketing
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,Regular,Sales & Marketing
52.0,Female,Master's,Marketing Manager,25.0,170000.0,Senior,Management
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,Regular,Data & Analytics
47.0,Male,PhD,Research Scientist,22.0,160000.0,Regular,Data & Analytics
26.0,Male,Bachelor's,Software Developer,1.0,35000.0,Junior,Software & IT
35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,Regular,Management
33.0,Male,Bachelor's,Web Developer,5.0,50000.0,Junior,Software & IT
41.0,Female,Master's,Marketing Analyst,14.0,100000.0,Senior,Data & Analytics
42.0,Female,Master's,Graphic Designer,15.0,110000.0,Senior,Design & Creative
32.0,Male,Master's,Business Analyst,6.0,90000.0,Senior,Data & Analytics
23.0,Female,Bachelor's,Marketing Analyst,0.5,35000.0,Junior,Data & Analytics
31.0,Male,Master's,Financial Analyst,6.0,95000.0,Senior,Data & Analytics
29.0,Female,Bachelor's,HR Generalist,3.0,45000.0,Junior,Human Resources
35.0,Male,Master's,Product Manager,10.0,120000.0,Senior,Management
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,Regular,Management
53.0,Male,Master's,Marketing,25.0,180000.0,Director,Sales & Marketing
37.0,Female,Master's,HR Generalist,9.0,95000.0,Senior,Human Resources
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,Regular,Sales & Marketing
34.0,Male,Master's,Software Developer,8.0,105000.0,Senior,Software & IT
50.0,Female,Master's,Operations,21.0,160000.0,Director,Operations & Logistics
47.0,Male,PhD,Research Scientist,22.0,160000.0,Senior,Data & Analytics
27.0,Male,Bachelor's,Sales Representative,1.0,35000.0,Junior,Sales & Marketing
46.0,Male,Master's,Project Manager,19.0,140000.0,Senior,Management
30.0,Female,Bachelor's,Marketing Manager,4.0,50000.0,Junior,Management
36.0,Male,Bachelor's,Data Analyst,7.0,60000.0,Junior,Data & Analytics
43.0,Female,Master's,Product Marketing Manager,14.0,120000.0,Senior,Management
28.0,Male,Bachelor's,Business Analyst,2.0,40000.0,Junior,Data & Analytics
41.0,Female,Master's,Marketing Manager,13.0,110000.0,Senior,Management
33.0,Male,Bachelor's,Software Developer,5.0,50000.0,Junior,Software & IT
47.0,Male,Bachelor's,Sales Manager,20.0,135000.0,Senior,Management
34.0,Male,Bachelor's,Business Analyst,8.0,90000.0,Senior,Data & Analytics
42.0,Female,PhD,Data Scientist,16.0,150000.0,Senior,Data & Analytics
31.0,Male,Bachelor's,Project Manager,4.0,60000.0,Junior,Management
43.0,Female,PhD,Product Designer,18.0,140000.0,Senior,Design & Creative
37.0,Female,Master's,Marketing Analyst,9.0,95000.0,Senior,Data & Analytics
32.0,Female,Bachelor's,Financial Analyst,5.0,50000.0,Junior,Data & Analytics
33.0,Male,Master's,Operations Manager,7.0,115000.0,Senior,Management
28.0,Male,Bachelor's,Software Engineer,2.0,40000.0,Junior,Software & IT
39.0,Female,Bachelor's,Sales Representative,12.0,90000.0,Senior,Sales & Marketing
35.0,Male,Bachelor's,Marketing Coordinator,7.0,80000.0,Senior,Sales & Marketing
41.0,Female,Master's,Human Resources Manager,13.0,120000.0,Senior,Management
31.0,Female,Bachelor's,HR Coordinator,4.0,50000.0,Junior,Human Resources
34.0,Male,Master's,Software Engineer,9.0,105000.0,Senior,Software & IT
29.0,Male,Bachelor's,Marketing Coordinator,2.0,40000.0,Junior,Sales & Marketing
43.0,Male,Bachelor's,Project Manager,16.0,140000.0,Senior,Management
26.0,Female,Master's,Data Scientist,1.5,45000.0,Junior,Data & Analytics
42.0,Female,PhD,Marketing Manager,18.0,140000.0,Senior,Management
38.0,Female,Bachelor's,Human Resources Coordinator,10.0,80000.0,Senior,Human Resources
46.0,Male,Master's,Operations,20.0,170000.0,Director,Operations & Logistics
29.0,Female,Bachelor's,Sales Representative,2.0,40000.0,Junior,Sales & Marketing
37.0,Male,Master's,Business Analyst,9.0,105000.0,Senior,Data & Analytics
27.0,Male,Bachelor's,Product Manager,2.0,40000.0,Junior,Management
33.0,Female,Master's,Financial Analyst,6.0,95000.0,Senior,Data & Analytics
30.0,Female,Bachelor's,Social Media Manager,3.0,45000.0,Junior,Management
34.0,Male,Bachelor's,Product Manager,7.0,95000.0,Senior,Management
28.0,Male,Bachelor's,Business Analyst,2.0,40000.0,Junior,Data & Analytics
41.0,Female,Bachelor's,Marketing Coordinator,11.0,90000.0,Senior,Sales & Marketing
45.0,Male,PhD,Data Analyst,17.0,155000.0,Senior,Data & Analytics
35.0,Male,Master's,Software Developer,9.0,110000.0,Senior,Software & IT
44.0,Male,Bachelor's,Sales Manager,16.0,130000.0,Senior,Management
41.0,Female,PhD,Marketing,17.0,160000.0,Senior,Sales & Marketing
31.0,Male,Bachelor's,HR Generalist,4.0,50000.0,Junior,Human Resources
39.0,Female,Bachelor's,Operations Manager,10.0,120000.0,Senior,Management
30.0,Female,Bachelor's,Marketing Coordinator,2.0,40000.0,Junior,Sales & Marketing
45.0,Female,PhD,Product Designer,15.0,150000.0,Senior,Design & Creative
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior,Data & Analytics
44.0,Male,Bachelor's,Software Engineer,14.0,130000.0,Senior,Software & IT
50.0,Female,PhD,Operations,22.0,180000.0,Director,Operations & Logistics
40.0,Female,Bachelor's,Sales Representative,12.0,100000.0,Senior,Sales & Marketing
48.0,Male,Master's,Marketing,19.0,170000.0,Director,Sales & Marketing
42.0,Female,Master's,Human Resources Manager,13.0,140000.0,Senior,Management
28.0,Male,Bachelor's,Financial Analyst,2.0,40000.0,Junior,Data & Analytics
40.0,Female,Bachelor's,Marketing Manager,11.0,105000.0,Senior,Management
46.0,Male,PhD,Data Scientist,18.0,160000.0,Senior,Data & Analytics
33.0,Female,Bachelor's,Operations Manager,5.0,70000.0,Junior,Management
43.0,Male,Bachelor's,Project Manager,15.0,120000.0,Senior,Management
27.0,Female,Master's,Research Scientist,1.5,50000.0,Junior,Data & Analytics
42.0,Female,PhD,Marketing Manager,13.0,140000.0,Senior,Management
32.0,Male,Bachelor's,Sales Representative,3.0,45000.0,Junior,Sales & Marketing
37.0,Female,Bachelor's,Financial Analyst,9.0,100000.0,Senior,Data & Analytics
45.0,Male,Master's,Software Developer,16.0,140000.0,Senior,Software & IT
29.0,Male,Bachelor's,Business Analyst,1.5,40000.0,Junior,Data & Analytics
38.0,Female,Bachelor's,Product Manager,10.0,120000.0,Senior,Management
46.0,Male,PhD,Data Analyst,19.0,150000.0,Senior,Data & Analytics
34.0,Female,Bachelor's,Marketing Analyst,6.0,70000.0,Junior,Data & Analytics
36.0,Male,Bachelor's,Operations Manager,8.0,95000.0,Senior,Management
49.0,Female,Master's,Marketing,21.0,180000.0,Director,Sales & Marketing
31.0,Male,Bachelor's,Financial Analyst,3.0,50000.0,Junior,Data & Analytics
47.0,Male,Master's,Operations,20.0,170000.0,Director,Operations & Logistics
30.0,Female,Bachelor's,Marketing Coordinator,2.0,40000.0,Junior,Sales & Marketing
45.0,Female,PhD,Product Designer,15.0,150000.0,Senior,Design & Creative
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior,Data & Analytics
44.0,Male,Bachelor's,Software Engineer,14.0,130000.0,Senior,Software & IT
50.0,Female,PhD,Operations,22.0,180000.0,Director,Operations & Logistics
37.0,Female,Bachelor's,Financial Manager,10.0,120000.0,Senior,Management
46.0,Male,PhD,Data Scientist,18.0,160000.0,Senior,Data & Analytics
31.0,Female,Bachelor's,Marketing Coordinator,3.0,50000.0,Junior,Sales & Marketing
42.0,Male,Bachelor's,Operations Manager,12.0,110000.0,Senior,Management
29.0,Female,Bachelor's,Sales Representative,1.5,40000.0,Junior,Sales & Marketing
33.0,Male,Bachelor's,Operations Manager,4.0,60000.0,Junior,Management
39.0,Female,Bachelor's,Marketing Coordinator,9.0,110000.0,Senior,Sales & Marketing
32.0,Female,Bachelor's,Marketing Manager,4.0,60000.0,Junior,Management
37.0,Male,Bachelor's,Financial Analyst,8.0,90000.0,Senior,Data & Analytics
47.0,Female,Master's,Marketing,20.0,180000.0,Director,Sales & Marketing
30.0,Male,Bachelor's,Business Analyst,2.0,40000.0,Junior,Data & Analytics
38.0,Female,Bachelor's,Project Manager,9.0,120000.0,Senior,Management
46.0,Male,PhD,Data Analyst,17.0,160000.0,Senior,Data & Analytics
34.0,Female,Bachelor's,Financial Analyst,5.0,70000.0,Junior,Data & Analytics
36.0,Male,Bachelor's,Product Manager,8.0,95000.0,Senior,Management
49.0,Female,Master's,Operations,21.0,180000.0,Director,Operations & Logistics
47.0,Male,Master's,Marketing,19.0,170000.0,Director,Sales & Marketing
35.0,Male,Bachelor's,Financial Manager,9.0,100000.0,Senior,Management
44.0,Female,PhD,Product Designer,15.0,150000.0,Senior,Design & Creative
33.0,Male,Bachelor's,Business Analyst,4.0,60000.0,Junior,Data & Analytics
35.0,Female,Bachelor's,Marketing Analyst,8.0,85000.0,Senior,Data & Analytics
44.0,Male,Bachelor's,Software Engineer,13.0,130000.0,Senior,Software & IT
32.0,Male,Bachelor's,Product Manager,4.0,65000.0,Junior,Management
38.0,Female,Bachelor's,Business Analyst,10.0,110000.0,Senior,Data & Analytics
