Age,Job Title,Years of Experience,Salary,Gender_Female,Gender_Male,Gender_Other,Education Level_High School,Education Level_Bachelor's,Education Level_Bachelor's Degree,Education Level_Master's,Education Level_Master's Degree,Education Level_PhD,Seniority
32.0,112,5.0,90000.0,0,1,0,0,1,0,0,0,0,5
28.0,24,3.0,65000.0,1,0,0,0,0,0,1,0,0,0
36.0,100,7.0,60000.0,1,0,0,0,1,0,0,0,0,1
29.0,73,2.0,55000.0,0,1,0,0,1,0,0,0,0,0
42.0,88,12.0,120000.0,1,0,0,0,0,0,1,0,0,7
31.0,103,4.0,80000.0,0,1,0,0,1,0,0,0,0,7
26.0,74,1.0,45000.0,1,0,0,0,1,0,0,0,0,4
29.0,111,3.0,75000.0,0,1,0,0,0,0,1,0,0,3
35.0,50,6.0,65000.0,0,1,0,0,1,0,0,0,0,0
40.0,92,14.0,130000.0,1,0,0,0,0,0,1,0,0,7
44.0,83,16.0,125000.0,0,1,0,0,1,0,0,0,0,7
33.0,76,7.0,90000.0,1,0,0,0,0,0,1,0,0,7
51.0,101,22.0,180000.0,0,1,0,0,1,0,0,0,0,4
34.0,6,5.0,80000.0,1,0,0,0,0,0,1,0,0,0
41.0,51,13.0,140000.0,0,1,0,0,0,0,1,0,0,7
33.0,86,6.0,90000.0,0,1,0,0,0,0,1,0,0,8
29.0,27,3.0,75000.0,0,1,0,0,0,0,1,0,0,9
35.0,57,7.0,60000.0,1,0,0,0,1,0,0,0,0,8
42.0,91,14.0,115000.0,0,1,0,0,0,0,1,0,0,5
49.0,102,21.0,160000.0,0,1,0,0,1,0,0,0,0,8
45.0,42,16.0,180000.0,1,0,0,0,0,0,1,0,0,4
29.0,55,3.0,50000.0,1,0,0,0,1,0,0,0,0,8
36.0,103,9.0,95000.0,0,1,0,0,1,0,0,0,0,7
35.0,88,7.0,105000.0,0,1,0,0,0,0,1,0,0,7
29.0,73,3.0,50000.0,0,1,0,0,1,0,0,0,0,0
47.0,27,21.0,180000.0,0,1,0,0,0,0,0,0,1,10
38.0,32,10.0,90000.0,1,0,0,0,0,0,1,0,0,7
49.0,50,18.0,150000.0,1,0,0,0,0,0,1,0,0,10
33.0,128,6.0,65000.0,0,1,0,0,1,0,0,0,0,3
45.0,97,16.0,190000.0,0,1,0,0,0,0,0,0,1,4
37.0,92,10.0,95000.0,0,1,0,0,1,0,0,0,0,7
50.0,83,22.0,160000.0,1,0,0,0,1,0,0,0,0,7
32.0,112,6.0,100000.0,0,1,0,0,0,0,1,0,0,10
30.0,15,3.0,55000.0,1,0,0,0,1,0,0,0,0,7
41.0,24,13.0,80000.0,1,0,0,0,0,0,1,0,0,0
25.0,105,0.0,30000.0,0,1,0,0,1,0,0,0,0,8
40.0,57,15.0,80000.0,1,0,0,0,1,0,0,0,0,8
46.0,92,21.0,135000.0,0,1,0,0,0,0,1,0,0,10
31.0,74,6.0,55000.0,1,0,0,0,1,0,0,0,0,4
